cni,qps,run,p50_ms,p90_ms,p99_ms,avg_ms,throughput_rps,error_percent
cilium,100,1,0.0005578079662802949,0.0009448560522655426,0.00179225806451613,0.0006600090819892473,99.99530434684603,0.0000
cilium,100,2,0.0005769116220867695,0.0009637352818931517,0.0018632044198895032,0.0006880059378360215,99.99268965071458,0.0000
cilium,100,3,0.0005627791082621083,0.0009567743766381767,0.0014540983971257485,0.0006704064630376343,99.99444596373226,0.0000
cilium,100,4,0.0005734172276250882,0.0009492900124031009,0.001436202222481752,0.0006468207073252689,99.99563403471087,0.0000
cilium,100,5,0.0005544697823779193,0.0009505557951167728,0.0015651735919463084,0.000644839281922043,99.99321516803198,0.0000
cilium,300,1,0.0005481542395280237,0.0009564956544188791,0.001842055335968379,0.000666237002669039,299.98305183496836,0.0000
cilium,300,2,0.0005606649984729238,0.0009539452706214026,0.0018345806451612904,0.0006684226480204626,299.9847275546668,0.0000
cilium,300,3,0.0005412437689530686,0.0009444828725282405,0.001797157360406091,0.0006477009982206403,299.9822277777685,0.0000
cilium,300,4,0.0005553282648834183,0.0009598288457805658,0.001628764040885609,0.0006669988195062278,299.9737756733677,0.0000
cilium,300,5,0.0005463531081943952,0.0009581847943242285,0.0018331707317073168,0.000674139355871886,299.9790341010083,0.0000
cilium,500,1,0.000553397363081028,0.0009494489450498525,0.0017967759562841534,0.000650738780849359,499.96545961781135,0.0000
cilium,500,2,0.0005263279757575758,0.0009205326012121213,0.0014852595155709352,0.0005680580729166666,499.97451173272987,0.0000
cilium,500,3,0.0005528828853985684,0.0009409458183612482,0.0015735186236177476,0.00063658274485844,499.9627680637731,0.0000
cilium,500,4,0.0005277947652830189,0.0009268774738113208,0.0016106750608,0.0005944129823050213,499.9647641019018,0.0000
cilium,500,5,0.0005396368742431624,0.0009403574886770131,0.0017604000000000003,0.000622862492321047,499.96268082050597,0.0000
cilium,800,1,0.0005193205726593183,0.000914399554035221,0.0012507836990595577,0.0005202475538333332,799.9488568164072,0.0000
cilium,800,2,0.0005229993542623572,0.0009133169641397328,0.0011048689138576722,0.0005043993267083333,799.937470327832,0.0000
cilium,800,3,0.0005170220933629989,0.0009092220513832332,0.000997467041937786,0.0004960811559583333,799.9574056812991,0.0000
cilium,800,4,0.0005151198423281755,0.0009080004562418754,0.0009963985943724578,0.0004959198779166665,799.962828500564,0.0000
cilium,800,5,0.0005179705673758865,0.0009091356183641782,0.0009971477548365436,0.0004902098446666665,799.9467793541153,0.0000
