cni,namespace,pod,cpu_mcores,memory_mib
calico,g5-bench,g5-client-d57c4d46-n6j2q,0,4
calico,g5-bench,g5-echo-649fbccd57-ck6rc,0,11
calico,g5-bench,g5-echo-649fbccd57-pztgs,0,10
calico,g5-bench,g5-echo-649fbccd57-xxsnk,0,10
calico,kube-system,calico-kube-controllers-5b4bd99c9c-ln7j6,4,13
calico,kube-system,calico-node-8fhzz,21,134
calico,kube-system,calico-node-989pt,19,131
calico,kube-system,calico-node-lkzjg,20,133
calico,kube-system,coredns-7d764666f9-lrxs9,2,14
calico,kube-system,coredns-7d764666f9-tkp5l,2,15
calico,kube-system,etcd-g5-calico-control-plane,27,51
calico,kube-system,kube-apiserver-g5-calico-control-plane,40,320
calico,kube-system,kube-controller-manager-g5-calico-control-plane,13,83
calico,kube-system,kube-proxy-pn96j,1,23
calico,kube-system,kube-proxy-rr986,1,24
calico,kube-system,kube-proxy-tls52,1,24
calico,kube-system,kube-scheduler-g5-calico-control-plane,12,43
calico,kube-system,metrics-server-5f54fb74d9-nwsr4,3,19
calico,local-path-storage,local-path-provisioner-84669cbbb8-jg9c4,1,8
